Key,English,Indonesian
InGame.Part2.No2.BadChoice,Running away from responsibilities will not solve your problem..,Lari dari tanggung jawab tidak akan membuat masalahmu selesai.
InGame.Part2.No3.Good,Save your money,Menabung untuk membeli gitar sendiri
InGame.Part2.No3.Bad,Ask parents for money,Minta uang ke orang tua
InGame.Part2.No3.GoodChoice,Your future self will be grateful that you start saving from now!,Dirimu di masa depan akan bersyukur karena kamu menabung saat ini!
InGame.Part2.No3.BadChoice,Your needs are not the only thing that matters!,Kebutuhanmu bukan satu satunya yang paling penting!
InGame.Part2.No4.Good,Use your own money,Menggunakan uang sendiri
InGame.Part2.No4.Bad,Steal things,Mencuri barang dari toko tersebut
InGame.Part2.No4.GoodChoice,"If you own money can cover it for now, why not?","Selagi bisa diusahakan, kenapa tidak?"
InGame.Part2.No4.BadChoice,Who taught you to steal?? It’s not good!,Mencuri tidak pernah diajarkan di sekolah !
InGame.Part2.No5.Good,Help him,Menolong wali kelas
InGame.Part2.No5.Bad,Go to school canteen,Pergi ke Kantin
InGame.Part2.No5.GoodChoice,Helping your homeroom teacher is not a bad thing!,Melakukan perintah gurumu juga merupakan ibadah lho.
InGame.Part2.No5.BadChoice,"Teachers are like parents at school, if you are able to help them, help them!","Guru juga merupakan orang tua di sekolah, jika kamu bisa membantu, bantu saja!"
InGame.Part2.No6.Good,Help your mother,Membantu membeli keperluan dapur
InGame.Part2.No6.Bad,Go with your friends,Pergi bersama teman tanpa membantu ibu
InGame.Part2.No6.GoodChoice,Helping your mother is a good act you can do!,Membantu orang tua adalah tindakan terpuji!
InGame.Part2.No6.BadChoice,Prioritize your mother over your friends! Because your mother has always been with you!,"Utamakan ibumu daripada teman, karena ibumu selalu bersamamu dari dulu!"
InGame.Part2.No7.Good,Stop smoking,Berhenti merokok
InGame.Part2.No7.Bad,Keep smoking,Tetap merokok
InGame.Part2.No7.GoodChoice,"Keep patience, don’t be mad because they are your parents!",Bersabar dan patuh terhadap orang tua adalah tindakan yang terpuji!
InGame.Part2.No7.BadChoice,"Your parents know what's best for you, if you don't follow them, who will you follow?!","Orang tuamu tau yang terbaik untukmu, jika kamu tidak mengikutinya, siapa yang akan kamu ikuti?!"
InGame.Part2.No8.Good,Warn him,Tegur orang tersebut
InGame.Part2.No8.Bad,"Don’t know, don’t care",Membiarkannya
InGame.Part2.No8.GoodChoice,"Theft is never right, whatever the reason!",Tidak pernah baik untuk melakukan pencurian apapun alasannya!
InGame.Part2.No8.BadChoice,"Why don’t you stop him? If you can stop him, why not?",Kenapa kau tidak menegurnya? Selagi bisa menegur kenapa tidak?
